"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
1126.16341886535,1115.76800776715,1076.29216336546,1063.86004891501,1133.75800220554,1291.00283312542,1462.693583316,1569.22669069845,1541.01271482259,1424.87637917142,1342.74831944286,1417.81093653844
1142.58826173482,1142.65686641928,1110.31491639338,1101.42148313869,1171.01681812388,1325.01197204704,1493.16773441173,1598.69433461878,1574.56113976315,1467.18749263451,1396.18626872873,1482.39023575346
1174.40149642089,1184.00621014018,1138.00666492425,1109.61878586182,1171.07233898524,1335.42754694366,1524.03184014229,1650.34337653526,1637.8033782039,1525.90618770837,1429.01912856292,1462.75740729767
1145.58955226029,1161.46052058991,1131.02424755456,1110.01236356139,1153.41544230935,1271.76065500547,1406.65689899428,1493.78461795473,1476.56145565162,1388.35000684772,1320.54186694965,1365.49578137479
1200.86368427097,1197.71533662398,1163.50550807196,1151.39758736208,1213.77610188973,1356.29389794254,1512.16971609111,1608.39140609168,1580.9322660846,1470.22143167549,1384.07890135083,1431.44785464508
1106.84900202151,1105.3092630112,1113.48144247096,1147.7643674048,1224.18028347562,1336.15655587853,1442.09848508366,1497.39872083209,1463.88345364887,1378.16878567265,1325.12237492184,1390.41607201282
1081.39520944049,1141.40737683123,1114.65880263214,1078.56240589779,1109.61321011908,1229.23250496864,1373.47729270074,1471.06141106054,1459.13017877458,1372.84488097821,1310.60291016729,1371.85559396035
1270.83072339417,1334.39409888319,1313.68143020339,1282.2587034155,1312.81711990812,1425.5608007412,1559.33889246531,1646.00226425387,1625.210252056,1527.39561808825,1441.5546253849,1457.65959532716
1184.10823507364,1204.84891105462,1161.40950276958,1116.16459875659,1130.74138248457,1221.92273327493,1336.98285902041,1417.21672706074,1410.91850639386,1347.74808529393,1309.85936447144,1380.28114484412
1161.48671100929,1243.28325608487,1214.30348421187,1158.67465600084,1159.6224937493,1246.28042097235,1363.93879807232,1450.67567894726,1451.31097674682,1389.03871842112,1337.61687530762,1371.64615115024
1174.56463621201,1225.4382898429,1194.60433338575,1149.97687001023,1158.69106463329,1241.1457870087,1345.29864938732,1412.87575799824,1392.87698717746,1318.85976550363,1278.93478235712,1362.12194813164
961.589428559369,1005.18981482758,974.859148281756,935.984137592004,953.203074969767,1046.24926510579,1165.25328203371,1254.35836811777,1264.0833935415,1219.06390188791,1191.75264538485,1255.39932973758
997.654015273138,1048.83247118382,1006.25568117446,947.670854403385,949.976334373335,1039.13852524993,1162.17932522626,1259.32970725048,1277.38299584438,1239.41985257335,1217.73857580509,1285.457757854
1002.78181698941,1036.89997936631,1021.16157453525,1003.0802825629,1029.58647990311,1112.61232624085,1209.84274526928,1274.29623177902,1265.12034615241,1212.71303627542,1193.44024197182,1284.43403626434
967.219963042543,1014.67835954048,985.345627930942,941.853872422412,946.149617942536,1019.04463256759,1117.59181125421,1193.35941471219,1203.68443465265,1172.96536067677,1168.86616489549,1259.77191079494
1049.09550065473,1101.66568053501,1077.37574411899,1040.28703680834,1053.74272953077,1137.99552477559,1246.50789895259,1326.99693267976,1332.94920459203,1284.92170777114,1246.74267042582,1282.96150801691
1108.85109682434,1120.02282624538,1108.67070280836,1094.8950938544,1098.54544947964,1124.41618508159,1153.96641227491,1166.64790471441,1145.4534447761,1114.54004121964,1124.62226821349,1226.85732601628
1002.22266215735,1015.59312247586,999.118456944498,984.705737969388,1003.84763323517,1063.17252713847,1130.76916497951,1171.41105428677,1154.8171150837,1108.19668764791,1095.84970596933,1182.69428059979
1126.52161381618,1188.6696327476,1218.20671522742,1230.52308840234,1240.8427413815,1254.41538101863,1261.03057667158,1249.1479933975,1210.04047102035,1167.68400602848,1167.15340566144,1253.87512400463
1019.38698277949,1028.9177905573,1029.05894433291,1032.54942484964,1051.94532635543,1088.82955337503,1127.77656636225,1151.89773380781,1147.01635009039,1130.48184803593,1139.98310462996,1213.54798759397
1230.80587341165,1254.350314108,1258.55975340583,1254.68387178355,1253.83441740163,1258.84719934568,1259.7303211353,1245.38842774673,1207.50527593795,1170.07179692926,1177.92226030376,1276.23832461727
1134.15756627025,1154.68496906757,1152.50736775846,1144.25579771874,1146.37132321484,1163.89674194796,1184.20753844319,1193.15942835024,1179.17500717013,1160.51684867487,1174.69912552101,1259.55687034653
1155.92245690896,1179.81745703537,1192.13897819785,1197.18858127847,1199.22813808326,1200.13817585674,1198.10813777305,1191.00995439813,1177.79052735001,1169.89329672727,1186.82398551914,1248.22268809637
1135.20468400252,1149.48292261557,1146.53074334403,1137.30693181483,1132.65899156923,1136.75750100771,1143.42380456257,1145.58898998068,1137.98990414177,1136.35534384494,1169.95729938569,1268.29348095112
1123.86659141549,1124.66301792863,1107.68673363883,1085.35752599061,1069.98789870068,1067.45333181765,1073.65191870457,1083.62348290209,1093.28595154486,1108.76520604824,1142.77290478284,1208.13046906854
1135.00297354503,1171.4398396785,1204.61951602528,1232.0956645402,1251.42735585803,1260.49818140766,1257.69473984889,1241.44689928074,1211.32332456002,1180.13119285265,1169.21865700783,1200.07621946952
1112.84710142481,1119.13828194612,1135.34530729706,1152.77886200184,1162.82517294842,1161.40300885116,1151.45657825532,1136.53442861632,1120.83648814394,1116.13498631722,1139.08750827279,1206.43306174156
1501.00205513864,1548.73962924295,1595.75722093713,1634.52230293973,1657.53479416852,1659.24138549506,1637.10626431932,1588.85318763507,1514.23782384305,1436.63681144942,1394.6661245123,1427.19572601567
1157.46594008423,1150.16702788701,1151.06327503289,1157.12134207141,1165.3129201285,1172.91153491471,1177.65855574674,1177.33559655255,1170.86738292362,1170.46731353981,1196.92212455735,1271.1614410904
1083.5171280093,1076.92265464009,1074.03287102269,1074.70979623832,1078.79915567906,1085.1690533886,1091.17228032061,1094.03127791564,1092.17090662075,1097.99414783357,1132.92212550048,1218.52626594367
1684.91089241346,1734.99080902882,1755.15732946575,1753.39599147544,1737.61936987248,1711.36226327459,1671.37391719437,1613.81987365152,1536.54614184754,1456.93416197251,1404.9688780801,1410.84529262171
1048.2961960965,1054.77524607623,1048.50502845629,1042.05854430832,1047.85618493571,1069.16175554674,1095.04635290227,1113.36019561714,1114.20382902151,1113.83784651102,1145.40029184616,1242.31049962682
1137.04465480387,1139.50725230992,1131.51138204537,1125.72070195024,1134.61095179055,1159.38278089186,1183.76044839705,1189.96486805691,1163.47901883594,1127.7073878077,1130.51995114838,1220.19444318587
1131.08572878175,1149.02178970805,1154.2405536525,1157.96206839388,1171.25426892609,1196.05832315176,1220.16890998202,1230.16380604918,1215.03985036394,1191.91548208599,1196.0521082131,1263.01351854032
1135.67959098695,1160.61520675353,1167.30577368373,1169.82119427918,1182.05168819514,1207.10650430265,1231.38438675727,1239.84661694331,1220.35675530432,1194.51735634714,1205.6980675227,1297.63132116431
1130.53777062963,1139.66245873998,1137.61471372267,1137.77798375041,1153.34022535943,1185.75989689519,1218.31473450754,1232.7185412542,1213.86091053043,1183.54999840529,1187.41238847927,1271.47163814509
1077.71857358923,1082.9624252606,1070.47533088691,1061.09661459215,1075.37987572725,1116.7352272567,1162.0003782461,1185.72723957617,1166.55110140043,1130.57653791854,1134.53346787602,1235.66223242749
1421.45130023894,1460.98335511772,1479.94676453409,1486.17699325943,1487.3841251713,1483.75539051761,1463.81759642029,1415.09450285064,1328.81541039617,1239.28652930733,1208.6056244559,1299.33365329066
1084.85101490777,1105.16173214274,1081.83734822524,1055.79250998075,1067.43809268995,1126.95867894612,1197.68809767705,1238.93000545218,1216.03470064346,1164.64469257682,1165.75230409684,1301.10568827344
1086.43226166051,1125.85690994742,1105.74034532624,1074.41173816023,1079.65527888107,1136.5563620283,1209.5172485085,1258.58035977599,1248.91049028162,1205.22002056096,1190.63912862359,1268.93828910366
1027.60336799243,1050.38844028852,1022.20440265105,989.404027587386,997.796781341422,1060.59375435,1140.47855454903,1195.78833976678,1190.04559606097,1147.0522501564,1129.50019049856,1200.7294715616
1101.91473038285,1137.9233125788,1140.40681844668,1141.39410597635,1172.47715840974,1239.03547411149,1305.81919988649,1334.08348455602,1291.01162128986,1212.70158130953,1179.71241845055,1273.34420459201
1094.4333952472,1120.80606860119,1108.5764807205,1102.55386884583,1146.93143993733,1248.94058412068,1358.52187542824,1420.68764564775,1387.70760544618,1296.21849496161,1237.28739592637,1302.88856243268
1044.03602509924,1075.40334209766,1057.49888289638,1044.62996158479,1090.39789558629,1206.04420236583,1337.15270945279,1423.65927104874,1412.66244369148,1334.52719857739,1273.33877442452,1314.07774774297
1087.84327075525,1075.03346491065,1053.20575632752,1051.42587866446,1098.29207979606,1194.35346055536,1296.68294386104,1358.61356635958,1339.5683965438,1269.76712312002,1225.10467364203,1282.23722964437
1006.63969810992,1015.87452972363,997.352398242478,984.356623663383,1009.71408887,1078.86544994998,1154.80271145714,1196.86638103916,1170.414033167,1110.75164413208,1098.31319140034,1214.28478579061
1128.28051910435,1150.45357516289,1121.36300164458,1098.4569182378,1138.42525692429,1252.46668728841,1381.2684221986,1459.45217287032,1429.79436854364,1329.87003549471,1258.41458518427,1315.1827688261
1043.45884414186,1060.66135647039,1032.81385830829,1014.30835625766,1058.80699150546,1176.17998032803,1308.4200553903,1391.68102603579,1370.07396852514,1280.21318703056,1218.39248760269,1281.90033465681
1116.2273252868,1143.84704436366,1127.84260617943,1118.15269898802,1164.04034467673,1274.22858313396,1394.60348214985,1465.64577858135,1435.66921863495,1344.04628220582,1288.89701931081,1369.32060613545
1107.3289197673,1147.86099087916,1178.22889169116,1220.16027747849,1294.97451529618,1399.49367899101,1492.56903793683,1529.78555574645,1473.45978772816,1364.16304265094,1292.95356700028,1351.73105622364
1290.33178216399,1278.61050352748,1254.11872971079,1253.9422428453,1314.56625239261,1436.44160762535,1564.16589952334,1637.53213770786,1603.9235958618,1498.96036738425,1415.18952613633,1446.10692898689
1118.0658037002,1155.43784562375,1148.76008092752,1150.50070780137,1212.40634350163,1342.92874927139,1483.41265953316,1569.43016124104,1544.46837550618,1444.02669551551,1362.96727063393,1397.14162949593
1194.76822631639,1272.48696885138,1297.84959555612,1308.35070044981,1341.03072602928,1405.68102344692,1469.85685227133,1497.48025989182,1457.40629951213,1375.83621692838,1315.9688015447,1341.61946849201
1254.80796089458,1266.89807220419,1235.79281437213,1216.93041730067,1264.99203690883,1389.23439012095,1528.50631341961,1615.60005142142,1591.13179553305,1486.67111859565,1392.46719437583,1399.74718998896
