"bspl4.1","bspl4.2","bspl4.3","bspl4.4","bspl4.5"
217.581949031907,377.10554669711,363.602383541164,282.158868375433,321.029501479459
217.891213417753,371.381014874664,336.43257279739,343.101294594944,316.513591040131
147.668555229216,297.067948022949,211.051731167816,235.56386876887,239.857366418027
129.47949906775,255.945664395858,227.84338282763,218.322121272315,261.808170396421
129.802893005876,258.13095710452,318.288580068634,241.976528200092,273.872823075806
199.935330046597,329.935578018048,565.999694199993,266.830391537862,411.187078298345
199.56069160699,271.628593476789,340.403749447861,237.14782424602,292.917334963633
107.596753886594,199.072148736696,131.240143046448,255.075936615484,191.142208432049
92.3588726315647,193.780462882286,228.308521626856,271.307852159676,238.88334815604
142.096752603518,174.25071322644,212.352349563385,215.293254018981,204.439409946175
137.555368358324,209.610884613048,241.52410553498,202.83582633799,257.247676050632
139.983454817752,175.152369377816,156.013242839183,213.017171242618,206.410028244325
154.979238460564,126.952185538432,203.805995379022,151.84583355708,195.895322376648
126.742661975991,166.138233838834,245.947587577724,196.109970435571,229.511892745222
197.677033944276,341.611173097456,328.006377629031,255.566884053167,310.194516461759
174.191077482879,313.131401076865,212.784118786314,289.331284526749,273.939329231131
165.792253232819,213.059020707159,193.051432163365,233.182855205994,231.9111343517
157.005121948148,286.209934332201,364.861377459142,209.207020579287,357.075052018078
101.787386403138,163.884223260063,182.687992253066,192.009514635354,193.3258479416
112.941172038522,131.667087093165,182.888732968638,186.382413433491,177.77333987069
104.415892927704,161.911911297366,235.039184873093,149.81954533,194.35994887176
139.604323422831,283.019203201887,267.355348102341,232.979284786969,235.92600174451
181.364367503653,151.251726341427,238.869319764874,185.69490815961,223.364367503653
166.380981282996,270.751640912857,192.322924807176,237.384508045724,236.555806457821
116.486833278169,215.435080989084,305.886242397471,171.505593809598,227.249071040407
158.598652198944,264.345645250687,166.755601236791,236.895179050221,225.682568282861
146.273497712915,269.612735331757,219.389883116442,229.548924142946,267.259511698929
129.520945969867,185.292045780265,281.650541945567,164.324097062316,227.569897018818
168.293761679861,288.1900188345,442.298085352179,274.087746107228,336.293761679862
98.3187965783663,228.539797461155,317.120940504909,218.722198393556,278.941174200744
140.197967083374,252.176742563044,380.978984743977,236.976276362578,305.736428621835
181.839177186512,356.159547773588,293.255591043457,278.315142179183,309.559456906791
125.549879188801,163.33455338804,223.125722877238,200.455474133961,245.556872195794
137.708150770096,245.750522429135,257.285652883014,171.265382568996,263.351507413452
128.422259365452,118.399880090717,300.050033977778,151.920567736405,204.653028596221
161.363362545511,287.893236214308,397.393850022086,243.505707076779,281.209516391665
153.648597775097,167.843272104822,161.060860996908,196.822875834426,197.047199173698
132.996893979589,273.329872844104,235.885150011891,267.423404312636,318.388502371198
163.742882190013,95.4462709873172,323.997032041045,152.897611313658,246.910714357845
152.164947406913,281.428068703266,330.446870646597,209.768686418884,270.081031322997
93.9206457536211,192.932011729422,163.659418640209,192.776125948537,204.389177222153
102.566194937881,197.511178133731,217.622963881621,192.578485826039,213.58717395886
128.709261582086,212.751873970519,164.529084978424,184.201466045111,203.737233610058
124.099081055535,224.312924606398,178.211797084707,190.926560970035,198.280899237353
186.492164676749,239.338489089966,297.041130100913,223.263605640082,254.743912928497
107.378625316106,194.169866351695,221.808572593523,195.249120430949,200.476527414008
152.116745366013,174.207672843732,206.885092249669,176.620843006902,192.200661449929
115.299292240497,159.084541273061,267.991583704257,161.510531949052,233.711879653085
135.310322876811,195.739301319257,253.804709320104,179.064767519723,216.044588611076
100.998096151411,192.061335058201,172.639988447555,195.683712680579,211.78830594162
123.056927463145,212.908278228346,278.511049573579,206.081355151424,264.266717672936
129.589801534132,261.085010659439,193.356155074581,226.149113223542,236.778612722944
104.657519199227,211.409786794192,317.159362576874,193.834611969017,222.098078639786
163.338150392301,264.037596804988,348.435080357446,203.163762306154,215.582905637056
139.28902783873,282.875307066253,232.916684788149,260.875598441545,259.191125740829
158.619651464026,222.284659343861,173.879676191771,254.804472863675,205.416854261229
160.208156543942,205.559671619225,148.155723556794,203.924764859318,193.264100599886
106.45038160847,197.231307048908,273.682078420713,158.593486536088,222.848983007072
119.575868245105,221.335113954064,352.868446535965,181.646011389961,241.477966147203
118.504043902141,177.889855666911,290.586782644151,194.555939582995,220.608939007036
135.005946372611,226.082068551119,289.198793788861,213.242033586084,190.621330987995
197.141424281946,375.421609784975,278.327911046176,239.565257803623,242.693871834394
113.131790773869,210.791913767883,351.406578097924,183.086785562755,237.963958606037
167.351790640809,310.874542116764,486.402288403384,272.672619039841,362.288853577872
143.948187166712,190.642048625606,176.764394685876,184.850673334231,196.577557796083
156.269800954372,282.28786426614,361.133892834087,182.80884328712,241.129940814512
107.904152274622,156.507776797716,252.27522850056,187.674734839674,187.897159267629
125.287306187068,146.073666398923,165.423347830519,141.807058007315,159.776816676579
135.61274271242,230.131059326944,236.378114912847,171.77849522438,203.074281173958
150.465366070171,243.198308205618,161.558373823519,221.531058788369,213.479352084157
128.684385808884,213.087943661477,114.945173456559,223.547442495976,170.110959235457
155.418493130667,279.636397770566,163.882781760729,243.201665835835,170.579332291507
133.038618240174,241.860717735822,302.628667051748,171.631114006219,223.821835023391
170.676037349895,274.785957317772,171.179117257314,264.976808133623,234.731981405839
123.02679345051,228.011442282248,336.029030613978,271.439181209988,303.579241002958
147.93449958692,304.100650619017,222.114138153648,246.227690246057,232.612821265242
128.325835752369,152.436369712168,278.528954163977,150.518246169045,212.360800787334
127.44221715222,249.87196240937,269.576628385036,214.792999705407,246.700958410962
151.158604824892,241.826071473207,376.7479596344,176.986036508172,283.41035307664
151.86160551419,155.170852467614,246.750985355577,150.472134518897,195.721745374329
122.762444860362,157.230811891098,271.390888858686,146.606103266389,203.119088217005
122.299709216746,197.004676454128,156.321913968265,195.073149647601,197.747261664298
146.271274449447,271.925087716526,165.176949475043,199.323106364545,197.173372351545
127.367944983561,192.849769893613,263.215619584791,160.69009623394,212.381930997547
144.7160171248,160.761375438493,218.227083687268,157.507587559706,181.7160171248
137.894652040223,209.022307010574,157.51655567259,178.890896754164,168.139407284978
106.850003932393,178.132786918777,292.772311508274,176.224278760269,222.017836100225
128.78425754871,235.920158485348,182.970928612687,188.06468062987,190.679362443815
108.971859841426,219.03704477796,189.543950256532,176.612219603135,188.713118582685
119.534928087101,187.818814891914,191.282058034045,161.923709996809,185.199263751437
144.304676554121,250.017048467203,180.229176718425,196.481500681655,214.885096134541
113.049765755294,234.814804141867,241.893758282083,176.688930015994,222.979835685364
167.778692154911,243.066162357033,150.286592368591,238.895125060996,207.792678168897
111.463470323974,205.203288772744,242.0185025993,182.541575486031,217.344589205094
160.028954199618,187.200137705045,346.428359552853,170.44664120155,246.840143010807
106.162045609584,192.166414303449,113.81415004587,166.539083301118,168.581626029164
115.672542771014,221.748369907164,266.635807481907,187.670572704367,240.539675638147
115.57489168098,153.408271889194,251.792295538718,216.205183311106,214.903563009652
160.430075038617,279.441492566192,180.748622201081,221.919348044048,211.50699811554
147.650296450177,243.831632150511,236.586673915259,180.858730052609,212.181764981646
109.305658797049,218.646583780886,285.465191464781,198.215639724942,236.375588866979
142.096906477709,228.144170030981,354.277360606164,213.871442758255,264.278724659527
177.310880587592,212.984885938617,325.898943291087,233.809186637918,271.527663804375
163.944447211244,234.753974977346,202.21935714043,258.785152133523,235.287104553902
192.958563885233,215.042239162534,293.051326832252,226.366248486543,258.0914310181
122.142320534957,210.295075411066,370.679210696204,165.823921564913,253.722740115377
123.114451961005,248.335843597157,396.389448200877,233.304083690397,300.694871541425
190.618036878008,278.961886523882,302.334439876321,218.484031046027,271.813841073812
138.322545515373,221.238146953932,170.73053243179,198.406270497055,196.651216844044
141.628016721819,211.801123459605,158.999806326662,226.892323925805,228.802841896644
155.431264450951,285.703498451873,281.083180999626,221.374827123201,270.501194520881
181.484895998297,267.980557642866,272.935945091909,218.381198668507,218.142238655639
116.673845545573,168.503029295181,304.994675682103,145.652796194949,217.988530860258
120.494663279027,239.822559187666,161.073524514967,171.304493919601,230.200956985321
109.404561100956,197.987288499219,324.830314974007,155.096262858193,202.607358303753
